military_occupation_id,job_code,preparation_needed,match_type,pay_grade
2094,29-1071.00,,crosswalk,
2095,11-9041.00,,crosswalk,
2097,29-1071.00,,crosswalk,
2098,29-1071.00,,crosswalk,
2099,29-1071.00,,crosswalk,
2100,49-3031.00,,crosswalk,
2101,49-9071.00,,crosswalk,
2101,53-5031.00,,crosswalk,
2102,29-1071.00,,crosswalk,
2103,43-9061.00,,crosswalk,
2104,49-9041.00,,crosswalk,
2105,49-9021.02,,crosswalk,
2106,17-2051.00,,crosswalk,
2107,49-9041.00,,crosswalk,
2108,11-3011.00,,crosswalk,
2108,11-9021.00,,crosswalk,
2110,29-9011.00,,crosswalk,
2110,11-3071.01,,crosswalk,
2111,51-9083.00,,crosswalk,
2111,11-3011.00,,crosswalk,
2112,43-4161.00,,crosswalk,
2114,43-6011.00,First term,most_duties,E3
2114,43-4161.00,First term,most_duties,E3
2114,43-9061.00,First term,most_duties,E3
2114,43-9022.00,First term,most_duties,E4
2114,13-1071.00,First term plus prep,most_duties,E4
2114,43-1011.00,First term plus prep,most_duties,E5
2114,13-1075.00,First term plus prep,most_duties,E5
2114,11-3121.00,Long term,most_duties,E6
2114,43-3051.00,First term,some_duties,E3
2114,13-1151.00,First term plus prep,some_duties,E5
2114,13-1141.00,Long term,some_duties,E5
2114,11-3011.00,Long term,some_duties,E6
2115,11-2031.00,,crosswalk,
2115,27-3031.00,,crosswalk,
2115,49-3031.00,,crosswalk,
2116,49-3031.00,,crosswalk,
2117,49-3031.00,,crosswalk,
2118,11-2031.00,,crosswalk,
2118,11-9021.00,,crosswalk,
2118,49-3031.00,,crosswalk,
2119,49-3031.00,,crosswalk,
2120,49-9041.00,,crosswalk,
2121,29-1071.00,,crosswalk,
2122,29-1071.00,,crosswalk,
2123,29-1071.00,,crosswalk,
2124,29-1071.00,,crosswalk,
2125,43-9061.00,,crosswalk,
2126,27-2041.04,,crosswalk,
2126,27-2041.01,,crosswalk,
2126,27-2042.02,,crosswalk,
2126,27-2042.01,,crosswalk,
2127,27-2041.04,,crosswalk,
2127,27-2041.01,,crosswalk,
2127,27-2042.02,,crosswalk,
2127,27-2042.01,,crosswalk,
2128,27-3041.00,,crosswalk,
2128,27-3031.00,,crosswalk,
2128,27-3022.00,,crosswalk,
2129,11-2031.00,,crosswalk,
2130,11-2031.00,,crosswalk,
2130,11-9021.00,,crosswalk,
2130,49-3031.00,,crosswalk,
2131,19-1021.00,,crosswalk,
2134,11-9021.00,,crosswalk,
2135,49-3031.00,,crosswalk,
2136,49-3031.00,,crosswalk,
2137,11-9021.00,,crosswalk,
2137,49-3031.00,,crosswalk,
2138,49-3031.00,,crosswalk,
2139,49-3031.00,,crosswalk,
2140,49-3031.00,,crosswalk,
2141,49-3031.00,,crosswalk,
2142,49-3031.00,,crosswalk,
2143,49-3031.00,,crosswalk,
2143,49-9041.00,,crosswalk,
2144,19-1021.00,,crosswalk,
2145,29-1031.00,,crosswalk,
2146,29-1031.00,,crosswalk,
2147,29-1051.00,,crosswalk,
2148,29-1031.00,,crosswalk,
2149,29-1051.00,,crosswalk,
2150,29-9011.00,,crosswalk,
2151,29-9011.00,,crosswalk,
2152,29-9011.00,,crosswalk,
2154,27-3021.00,,crosswalk,
2154,27-3031.00,,crosswalk,
2154,49-3051.00,,crosswalk,
