skill_name,skill_id,belongs_to,source
- Inventory Management and Distribution,27604,27604,manual
- Isolated -60 gen engine start fault; repaired shorted relay--key asset for transient fighters/POTUS msn support,26242,26242,manual
"- Led six Amn on CI prep; cleared 100+ ready line discrepancies--achieved ""In-Compliance"" rating",36040,36040,manual
- Located/corrected -86 gen voltage fault; replaced overload circuit card--crucial to AGE Flight's 93% MC rate,23293,23293,manual
- Maintains/services/inspects/delivers AGE in support of USAF/DoN training/sortie production for 59 F-35 acft,20751,20751,manual
- Managed flt lock-out/tag-out prgm; inspected facility/composed continuity binder--secured safety for 52 prsnl,9823,9823,manual
- Mechanical Equipment/System Installation/Repair,42962,42962,manual
"- Monitored essential systems processes and applications while providing first level client support to end-user remedy incidents, taking corrective action on workstations, software and peripherals, ensuring effective daily unit operations without interruption-zero downtime.",25539,25539,manual
- Operates radio-dispatched tow vehicles; maintains/utilizes shop CTKs/equip/pgms; adheres to JTD/AFIs/TOs,30715,30715,manual
- Outstanding dispatcher; compl'd 1K timely AGE deliveries/SIs--enabled 1.5K JSF fly hrs/wg jt pilot trng msn,27083,27083,manual
"- Over 20 years of experience ranging from shipping and receiving to purchasing. - Proven leadership capabilities in manufacturing and distribution settings. - Successful in bringing new engineering concepts to mass production. - Self motivated with a strong desire to move companies forward. - Microsoft Word, PowerPoint, Excel, Access - JD Edwards, IQMS, NALCOMIS, SUDAPS, SMART, MAS200. - Hard-working, reliable, punctual, organized and dependable. - Work well with little or no direct supervision. - Enjoy working with diverse populations. - Ability to maintain focus in a fast-paced, high-stress environment.    Experience   Purchasing & Vendor Relations  -  Identified qualified vendors, negotiated price and managed inventories. -  Ensured uninterrupted production while attaining cost objectives, on time deliveries and quality standards. -  Managed vendor/supplier relationships for competitive pricing, timely deliveries and maintaining and improving quality standards. -  Issued purchase orders and releases to manage inventories of components and raw materials. -  Resolved billing and invoice discrepancies with staff and vendors. -  Identified, investigated and proposed cost reduction opportunities. -  Compared prices, specifications, and delivery dates; and placed orders with suppliers. -  Negotiated annual cost downs with suppliers.   Inventory & Production Control  -  Participated in the physical inventory process and reconciliation, which includes working collaboratively with accounting personnel. -  Searched inventory records and warehouse, to determine if material on hand is in sufficient quantity for production. -  Ensured proper and efficient processing of receiving, marking, and distribution of products. -  Created and utilized requirements planning spreadsheets using SPS and OEM forecasting plans. -  Created and maintained weekly supplier releases, maintaining and updating customer requirements using DRP.       Product Sourcing  - Sourcing and Procurement of components from Thailand and Japan.  - NAFTA Coordinator for materials produced in the US as well as overseas.    Packaging, Preproduction & Service Parts Coordination  -  Packaging Coordinator for all existing components as well as preproduction materials. -  Initial controller for all preproduction and prototype materials. -  Project Manager for all preproduction materials. -  Service Parts Coordinator for all phased out production materials.",18581,18581,manual
- Performs minor maint/dispatches AGE supporting flightline/backshop aircraft maintenance & sortie generation,24466,24466,manual
- Pneumatics Equipment/System Repair,11422,11422,manual
- Problem Solver,36934,36934,manual
- Process Analysis and Improvement,9163,9163,manual
"- Provided Government purchasing services of $30K for new computer and network peripheral upgrades annually, replaced 80% outdated computer systems",14603,14603,manual
- Repair Malfunctioning Electrical Systems,28888,28888,manual
- Replaced six acft power cart inverter modules; bested ETIC by 3 hrs/aided JSF 5K sortie milestone,14446,14446,manual
"- Subject matter expert in Cyber-security awareness and Information Security practices, technology and systems. Communicated and directed colleagues in USAF information systems security policies and provided input on incident response planning and security awareness, 100% trained",17723,17723,manual
- Tackled 110 complex JSF AGE mx/insp actions; key to annual 96% AGE FMC rate--aided 1.1K+ F-35 sorties,17646,17646,manual
- Team builder,26885,26885,manual
- Team player,25311,25311,manual
"- Team-Leader/Supervisor of two assistants on a client systems support team involved in daily operations including troubleshooting, resolving and upgrading network computer and printing systems for 62-member unit.",38119,38119,manual
